City,Date,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed
Lebu,1583576034,-37.62,-73.65,57.92,85,83,8.03
Hasaki,1583576034,35.73,140.83,46.4,65,75,6.93
Saldanha,1583576034,-33.01,17.94,84.2,39,0,8.05
Hermanus,1583576035,-34.42,19.23,80.01,74,0,5.99
Punta Arenas,1583576035,-53.15,-70.92,44.6,93,40,11.41
Tautira,1583576036,-17.73,-149.15,80.6,78,20,4.7
Kununurra,1583576036,-15.77,128.73,91.4,49,88,6.93
Jinchang,1583576037,38.5,102.17,46.58,21,0,7.63
Rikitea,1583576038,-23.12,-134.97,76.78,89,100,18.25
Venice of the Philippines,1583576038,4.66,119.39,82.74,76,100,9.91
Bluff,1583575955,-46.6,168.33,57.99,96,100,7.0
Okhotsk,1583576039,59.38,143.3,-5.62,95,0,1.32
Mataura,1583576039,-46.19,168.86,57.99,96,100,7.0
Poya,1583576039,-21.35,165.15,82.63,78,80,9.4
Atuona,1583576039,-9.8,-139.03,81.72,69,0,10.47
Zyryanka,1583575925,65.75,150.85,-7.67,84,0,8.28
Hong Kong,1583575937,22.29,114.16,78.01,73,40,6.93
George Town,1583576040,5.41,100.34,89.6,62,20,5.82
Vaini,1583576040,-21.2,-175.2,75.2,83,75,3.36
Nipawin,1583576040,53.37,-104.0,21.2,73,75,25.28
Foshan,1583576040,23.03,113.13,75.0,78,75,2.24
Ushuaia,1583575850,-54.8,-68.3,46.4,93,90,18.34
Prabumulih,1583576042,-3.45,104.25,89.53,60,95,5.01
Walvis Bay,1583576042,-22.96,14.51,78.8,61,0,5.82
Edéa,1583576042,3.8,10.13,86.0,84,75,4.7
Aswān,1583576042,24.09,32.91,74.14,24,0,10.58
Orsk,1583576042,51.2,58.57,23.0,57,0,11.18
Kamaishi,1583576043,39.27,141.88,41.0,52,40,2.24
Ixtapa,1583576043,20.7,-105.2,71.01,94,75,5.82
Lloydminster,1583576043,53.28,-110.0,10.4,72,90,11.41
Saint George,1583576043,37.1,-113.58,53.6,40,1,6.93
Lüderitz,1583576044,-26.65,15.16,91.4,41,0,2.24
Saint-Philippe,1583576044,-21.36,55.77,82.4,78,40,15.32
Busselton,1583576044,-33.65,115.33,75.99,43,49,17.58
Katsuura,1583575745,35.13,140.3,48.99,66,75,10.29
Itaueira,1583576044,-7.6,-43.03,71.33,98,100,8.41
Oroville,1583575836,39.51,-121.56,53.6,71,90,19.46
Anagé,1583576045,-14.61,-41.14,69.12,98,77,0.65
